company_name,date,country,revenue,industry,data volume,Data Type - None,Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type - Personal Information,Data Type - Government Information,Data Type - Medical Information
Dalmahoy Hotel & Country Club,2024-02-11,United Kingdom,13,Hospitality,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seamon Whiteside,2024-07-19,United States,18,Architecture & Planning,82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Concrete,2024-06-12,Canada,5,Construction,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omni Family Health,2024-08-07,United States,23,Healthcare,102,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
Interface,2024-04-04,United States,1300,Flooring & Interiors,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Manuchar,2024-05-29,Belgium,2800,Logistics & Trade,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallup McKinley County Schools,2024-01-18,United States,72,Education,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkanat Holding,2024-08-20,T�rkiye,,Holding Company,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Ultrasonic Technology Group,2024-07-15,Germany,257,Manufacturing,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Avianor Aircraft,2024-02-11,Canada,21,Aerospace,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WheelerShip,2024-07-02,United States,5,Automotive Parts,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya Urban Roads Authority,2024-07-14,Kenya,5,Government,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betances Health Center,2024-07-24,United States,5,Healthcare,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Johns River Water Management District,2024-03-08,United States,135,Government,292,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Groupe Goyette,2024-02-11,Canada,25,Construction,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aero Tec Laboratories,2024-05-14,United States,53,Manufacturing,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concello de Teo,2024-02-16,Spain,43,Government,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffin Dewatering,2024-03-06,United States,32,Industrial Services,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gunning & LaFazia, Inc.",2024-01-04,United States,5,Legal Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSI,2024-03-19,Spain,,Technology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impact Energy Services,2024-02-11,Canada,12,Electrical Services,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sysmex,2024-03-29,Japan,3000,Medical Technology,1,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
Fractalia Group,2024-08-06,Spain,100,Technology,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exela Technologies,2024-04-03,United States,1100,Technology & Outsourcing,275,1,0,0,0,0,3,0,2,0,1,1,1,0,0,0,0,0,1,0
Treasury of Cote d'Ivoire,2024-05-13,Cote d'Ivoire,392,Government,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Therapeutic Health Services,2024-03-20,United States,17,Healthcare,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
BeneCare Dental Insurance,2024-04-04,United States,35,Insurance,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Richelieu Foods,2024-05-08,United States,303,Food & Beverage Manufacturing,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Physical & Occupational Therapy Examiners of Texas,2024-07-25,United States,5,Government,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComNet Communications,2024-07-15,United States,300,Communications & IT,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
MRI,2024-06-16,United States,25,Real Estate,15,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Toyota Brazil,2024-04-13,Brazil,1700,Automotive,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Tiete Automobile,2024-03-16,Brazil,26,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSS Australia,2024-04-26,Australia,17,Healthcare & Supplies,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleven Construction,2024-07-31,United States,13,Construction,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Greater Napanee,2024-02-17,Canada,53,Government,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thorite Group,2024-03-16,United Kingdom,69,Industrial Equipment,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indika Energy,2024-07-10,Indonesia,3000,Energy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmocolor,2024-05-30,Mexico,68,Technology,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braum's Inc,2024-07-16,United States,3000,Food & Beverage,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Thermosash Commercial Ltd,2024-01-04,New Zealand,70,Construction & Design,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notions Marketing,2024-04-13,United States,250,Retail & Distribution,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0
Voice Technologies,2024-02-17,United Kingdom,5,Technology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crownlea Group,2024-07-29,United Kingdom,89,Industrial Equipment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NetOne,2024-08-13,Zimbabwe,123,Telecommunications,98,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACE Air Cargo,2024-03-09,United States,23,Logistics & Transportation,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IJM Corporation,2024-02-24,Malaysia,985,Construction,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ausa,2024-03-16,United States,70,Industrial Automation,376,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innovative Automation,2024-01-25,United States,24,Technology & Automation,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axip Energy Services,2024-06-07,United States,100,Energy,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Crimson Interactive,2024-08-23,United States,50,Translation & Localization,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nastech,2024-02-17,United Arab Emirates,6,Technology,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village of Skokie,2024-03-16,United States,16,Government,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lantronix Inc.,2024-07-16,United States,150,Technology,51,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
BS&B Safety Systems L.L.C,2024-02-17,,68,Safety Systems,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP Communications,2024-02-17,United States,22,Broadcasting & Communications,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formosa Plastics USA,2024-05-17,United States,1200,Chemicals & Plastics,0,0,0,0,0,0,1,1,2,3,0,0,0,0,1,1,0,0,0,0
Panzeri Cattaneo,2024-03-20,Italy,,Manufacturing,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENEA Italy,2024-08-02,Italy,500,Government,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrabawn Co-op,2024-05-29,Ireland,69,Agriculture & Co-op,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRN,2024-08-03,United States,50,Education & Ethics,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citi Trends,2024-04-04,United States,742,Retail,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Trent,2024-01-25,United Kingdom,27,Automotive Recycling,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
