company_name,date_of_attack,revenue,data_volume,country,industry,Data Type - Databases,Data type - Applications,Data Type - Emails,Data Type - Source Code,Data Type- Designs,Data Type - Financial Information,Data Type -Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type -  Government Information,Data Type - Medical Information,Data Type - Personal Information,Data Type - Others,attacker
CTS,21/6/2024,11.8,93,Taiwan,IT Services,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,cactus
SOFIDEL,9/7/2024,66.1,74,Italy,Manufacturing,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,cactus
CLESHAR,21/3/2024,239.3,1024,United Kingdom,Transportation & Logistics,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
MIHLFELD,28/8/2024,88.2,316,United States,Transportation & Logistics,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
LABERGE TRANSPORT,10/7/2024,27.8,110,Canada,Transportation & Logistics,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,cactus
TIBA IT SERVICES,28/8/2024,124.3,29,Mexico,IT Services,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
DAYSTAR,7/7/2024,120.3,125,United States,IT Services,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,cactus
AMMEGA,21/4/2024,66.1,3072, Netherlands,Manufacturing,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
NEWAGESYS,28/3/2024,24.1,319,United States,Business Services,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,cactus
DTS,28/1/2024,31.1,2457.6,United States,Transportation & Logistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
LEONARD'S,5/8/2024,22,575,United States,Food & Beverage,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
CHUBB BULLEID,5/8/2024,14,362,United Kingdom,Law,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
MCPHILLIPS,10/9/2024,40.8,1228.8,United Kingdom,Construction,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
DENKAI AMERICA,5/8/2024,18.1,80,United States,Manufacturing,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
RANGER AMERICAN,10/9/2024,52.9,218,United States,Retail,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
COOP,12/1/2024,66.1,257,Sweden,Food & Beverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
HI - CONE,29/1/2024,27,650,United States,Food & Beverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
